Town,StoreNumber,Address,Lat,Lon
State Capitol,1,"210 Capitol Ave, Hartford, CT 06106",41.76428989,-72.68249918
Glastonbury (1),459,"2639 Main St. Glastonbury, CT 06033",41.71547718,-72.61145523
Glastonbury (2),5450,"766 New London Turnpike Glastonbury, CT 06033",41.70537939,-72.59393854
Kensington (1),2119,"1055 Farmington Avenue Kensington, CT 06037",41.63127394,-72.75955474
Clinton (1),1284,"17 West Main Street Clinton, CT 06413",41.27901446,-72.52846212
West Hartford (1),1038,"1044 Boulevard West Hartford, CT 06119",41.76107505,-72.7161176
West Hartford (2),11072,"344 N Main St West Hartford, CT 06117",41.78549258,-72.74611836
West Hartford (3),1156,"1240 Farmington Avenue West Hartford, CT 06107",41.75534058,-72.76649752
West Hartford (4),17777,"333 North Main St, Suite 10 West Hartford, CT 06117",41.78408508,-72.74790929
West Hartford (5),2153,"150 South Main Street West Hartford, CT 06107",41.75221948,-72.74340554
West Hartford (6),333,"978 Farmington Ave West Hartford, CT 06107",41.76179605,-72.74407669
West Hartford (7),671,"1099 New Britain Avenue, Corner Of Newington Road West Hartford, CT 06110",41.7318457,-72.73005133
New Canaan (1),1213,"94 Park Street New Canaan, CT 06840",41.14637858,-73.49516904
Old Greenwich (1),1898,225 SOUND BEACH AVENUE OLD GREENWICH CT 06870,41.0311029,-73.5679331
Darien (1),918,964 POST ROAD DARIEN CT 06820,41.0764284,-73.4704302
Canton (1),2253,111 ALBANY TURNPIKE CANTON CT 06019,41.8250066,-72.8854906
Brookfield (1),696,14 CANDLEWOOD LAKE RD. BROOKFIELD CT 06804,41.4350084,-73.41505
Berlin (1),1155,308 BERLIN TURNPIKE BERLIN CT 06037,41.6411774,-72.7339675
New Haven (1),11007,"123 Church St. New Haven, CT 06510",41.3062916,-72.92531516
New Haven (2),2259,"215 Whalley Avenue New Haven, CT 06511",41.31618834,-72.93952687
New Haven (3),811,"1150 Whalley Ave. New Haven, CT 06515",41.32921973,-72.96839324
Rockville (1),2109,"22 Windsor Avenue Rte. 83 Rockville, CT 06066",41.86825418,-72.46719814
Hebron (1),10130,"110 Main Street Hebron, CT 06248",41.66027971,-72.35594026
Wilton (1),3795,"93 Old Ridgefield Rd. Wilton, CT 06897",41.19402578,-73.43174133
Bristol (1),1276,"81 North St. Bristol, CT 06010",41.68178191,-72.94619109
Bristol (2),288,"839 Farmington Ave, Rte 6, Bristol S/c Bristol, CT 06010",41.69371913,-72.91589206
Bristol (3),5703,"60 Middle St. Bristol, CT 06010",41.66730216,-72.92310666
Farmington (1),145,"330 Main St. Farmington, CT 06032",41.70481927,-72.84400274
Prospect (1),1244,"26 Waterbury Rd. Prospect, CT 06712",41.50784652,-72.9802223
Ridgefield (1),10462,"720 Branchville Rd Ridgefield, CT 06877",41.26745001,-73.4436939
Ridgefield (2),738,"467 Main St. Ridgefield, CT 06877",41.28302995,-73.49989899
Monroe (1),1941,"511 Monroe Turnpike Monroe, CT 06468",41.31734643,-73.21633832
Hamden (1),11081,"1245 Dixwell Ave Hamden, CT 06514",41.34743906,-72.9329794
Hamden (2),775,"2045 Dixwell Ave. Hamden, CT 06514",41.36752697,-72.91972719
